bids_name	site	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-001_T1w	SHIP	1.0035007256519488	0.7310937148157967	0.5850782727421843	12788.418419963116	3.635443333333333	3.53109	3.89831	3.47693	0.243525721071666	0.3450419138048734	0.4114323651234605	0.5792884528636932	0.1223306328058242	0.0	0.0011730465951726	5.06246182036423	4.912497747484981	5.026137660762956	176	256	176	1.8110987066227409	2.8528211082510686	4.759653260199792	9.615039965725565	2.5232019472150173	5.0625569477543255	4.705922868476837	6.53200971046117	1.0	1.0	1.0	119.88312935794303	0.0	15.752738441120346	0.0	1861918.0	0.0	22.88540180772543	94.063695636586	-0.1160587083133766	144.01265343646136	407.0891512967279	362.2782980650664	371506.28049958136	143.45156483352184	781.0368128120899	200.0320629459142	1.8382048630927983	116.85858219510612	689.0373777991015	726.8758320808411	526372.4811079921	240.45019783079624	1056.5825076028705	254.79170058036263	-0.6171085898774789	94.86226750238818	931.0967069939225	937.8580907732248	627653.239138469	763.1309470161796	1080.866272263229	97.54065994538188	0.2193345160352098	0.460086243942343	0.4600000965715651	0.4526339843629869
sub-002_T1w	SHIP	0.6974192110254434	1.4430242768042905	0.5216621869853809	27571.938304000003	3.765503333333333	3.54636	4.02013	3.73002	0.2560251185740528	0.3788063456257916	0.3651685358001556	0.2854376882314682	0.0341032713651657	0.0	0.0013034755782417	5.5639388039611495	5.453864403397435	5.526002448114042	176	256	176	1.8893576506767948	6.561698703050517	7.235288331167787	13.254808639776051	57.77798536655988	104.72984245700094	98.2368216173704	132.2026370285504	1.0	1.0	1.0	445.0072371293046	4.742958573009436	5.210705185829728	3.1990769430994987	2469925.0	0.0	14.631843723356724	20.773219074867946	0.2716697636377301	182.21513796471496	430.83989942388	418.29242128133774	359451.07391794655	75.51919341087341	793.3973038308322	221.3936780483032	-0.5341568874163354	81.25232309499772	763.5565555671828	758.2074574567378	531831.9878162266	579.5311436019838	971.5229569002986	115.55037482562268	-0.0731872538645235	57.45977681072088	945.926830041697	957.1008887141944	512684.93921796296	809.1566910669208	1047.566589154303	72.20775352587636	0.2089786487812032	0.5255393930294939	0.5529952886370527	0.6219011432758004
sub-005_T1w	SHIP	0.7283261773522268	1.2945035584630915	0.5375063208163031	27401.979601959203	3.7147566666666663	3.58977	3.94737	3.60713	0.2596692222623031	0.3661753362085418	0.3741554415291551	0.3155551254749298	0.0487221330404281	0.0	0.0006146951697985	4.971733472500767	4.85462573023013	4.930625574038051	176	256	176	2.015220992048877	5.950137646065427	7.328895290192274	14.021327232462518	54.96510598207605	101.46505246202916	94.31093362481654	126.50264243034444	1.0	1.0	1.0	964.4337516530892	4.993872233447301	4.571062385397939	3.3683156352490187	2516127.0	0.0	15.394037572667004	10.517467949073298	-0.2230504049993009	169.6678409231558	440.5336587637388	418.9794927779585	407044.7493208908	137.90607981011271	797.4278486557305	207.9072120479605	0.7607576659217186	82.25444100215265	775.97505569516	773.4320794194937	573998.5148641805	560.4487494584173	997.4946624618024	129.98546448880404	-0.1925737771052751	56.748548107355695	954.6331394066827	964.284740537405	586507.7369486605	824.5413976535201	1052.8630905486643	68.77265628950147	0.2029430369269937	0.5080872826005725	0.5449469778976803	0.5861748032828497
sub-006_T1w	SHIP	0.963922737226536	0.7605047403315163	0.5833166408669235	15334.1784765625	3.709073333333333	3.57	4.02173	3.53549	0.2464382293982606	0.3381940757781517	0.4153676948235877	0.4702444225549698	0.0934141427278518	0.0	0.0019104998564903	4.920483897923519	4.77125436328779	4.859503090014537	176	256	176	1.9170771227766452	3.9122200956559543	5.956929588019901	12.041491545627103	37.21523439876716	79.42173573003066	71.07506086862385	96.58821247707374	1.0	1.0	1.0	250.30880492924533	6.605802393980114	10.272830102249852	4.455546006560326	2012791.0	0.0	23.965436853468415	57.96560576088627	-0.1560607334083532	143.3258943663564	419.8538892641226	375.2447345070541	389227.4971538165	168.43314070254564	793.3234681226313	195.7376925584758	5.092778890836062	88.67789274343002	779.5251389783098	800.8168864063919	534147.7821391424	374.6034059152007	1079.5922990441322	204.6960848839152	-0.5958636106710986	78.16866166209802	969.5403762939555	973.9080979339778	656036.7222630125	830.0479685403407	1096.3343507051468	80.87929572320479	0.2205041949578853	0.4695397578547653	0.5088830780457866	0.4811233136328067
sub-007_T1w	SHIP	0.7704290840364442	1.2620894077740985	0.5491170810504733	30800.25	3.636063333333334	3.44094	3.93288	3.53437	0.2571245689526297	0.3693226280834028	0.3735528029639675	0.2958755791187286	0.0469371020793915	0.0	0.0019273112017119	5.170776748469688	5.052444800777011	5.123134169380581	176	256	176	2.0294051608680204	6.379861689400958	7.537990521254141	14.204704713493443	7.959754463120028	14.65901678760726	13.564757216444567	18.07550039860642	1.0	1.0	1.0	227.3636432347508	0.0	6.246416354059348	0.0	2267925.0	0.0	14.91954754292965	35.13516896491324	-0.1383890383690604	181.41627933991973	442.2144262159844	426.8841083794832	388261.4420057728	133.11937381327152	800.6823848038912	210.3491046896614	0.6688137640279104	83.54922694553487	789.5997563113214	786.1676311865449	557681.9699849114	589.6401803158224	1000.3903593756258	123.22632756119135	0.0088707011505091	57.61424372231855	962.6351412411412	969.3947102166712	564069.589051245	838.2414783276618	1064.9260766543448	68.24456195903781	0.2145997046953361	0.5260898812186785	0.5620000346538091	0.5754917779532425
sub-008_T1w	SHIP	0.8003296607687138	1.087810391870206	0.5484917172683726	28950.66047985513	3.56622	3.47987	3.84573	3.37306	0.2623138324905429	0.3601080074820657	0.3775781600273913	0.3156412541866302	0.0448166847229003	0.0	0.0004712765473582	4.762407969041412	4.623673139406394	4.699752023856781	176	256	176	1.9990361999821653	5.494218642161996	6.701982645363349	12.612693093945886	55.76560769168146	105.8547211224152	97.08391432121836	129.63141414955842	1.0	1.0	1.0	2181.803591312341	4.893200996443094	4.598414275945067	3.30041391775012	2559751.0	0.0	16.90827437862754	7.130328542045514	0.116113360365996	169.15419444627125	439.92799204644086	416.5122364200652	428879.7062690427	134.83460243977606	802.6352769974619	208.3562823133676	6.425000902105921	76.48449557517205	792.8314720345207	790.6268478967249	588771.9111404719	549.3665905091912	1028.4343645703048	143.90147680125943	-0.2409950270856931	65.64417336766735	959.3052055943912	968.2145044710488	617335.383455203	819.0865709874779	1072.228318478912	76.7650265546433	0.210479211151835	0.5136776416247835	0.5481909414436464	0.6164843571963996
sub-009_T1w	SHIP	0.8509670941707451	1.0779143179753057	0.5319960569508102	23279.016763198928	3.6060600000000007	3.42055	3.88893	3.5087	0.2565562615542434	0.3651695224306851	0.3782742160150714	0.3719249367713928	0.0658958181738853	0.0	0.0013778810051605	5.66024586331311	5.515839843782269	5.588177093230173	176	256	176	2.003783192601444	5.783042155071849	6.795751123689321	12.60042802339467	51.484733474384896	95.92089761817576	88.04604340173228	116.73249911263616	1.0	1.0	1.0	699.4157395377392	5.422219102475322	5.86390499264283	3.657231207937002	2437800.0	0.0	17.423882015049458	28.469805889726345	0.1552666414224761	175.80333155017547	448.10030549178913	426.11203610524535	354064.57387035515	136.7447668723762	813.1244052313268	212.6534626773775	3.397765554087081	81.81820044060323	798.3752267788283	793.8867744058371	503958.0424449131	574.8097049742937	1025.630351923406	137.2782638386156	-0.1659126728764892	64.75804765476624	958.5056883595868	966.1334442235528	522043.3845119836	819.6955279707909	1073.0256896913052	76.67457939453038	0.2129033688405978	0.5066164716170324	0.5210482331236621	0.5323317878733269
sub-011_T1w	SHIP	0.7717261856057872	1.178280411991819	0.5180667314600462	20154.839750260144	3.56674	3.49242	3.81505	3.39275	0.259625093557473	0.3664674741472954	0.3739074322952316	0.3248807787895202	0.0557089194655418	0.0	0.0016573084817572	6.128319679022736	5.996907300535296	6.077708413784734	176	256	176	2.1016010403822274	5.620304690059718	6.662463782277413	12.265485616390295	48.591736709777706	88.35734506099463	82.37335555421828	110.17098489188253	1.0	1.0	1.0	398.2784818442239	5.732994765902923	6.379873451437378	3.8668462075293055	2238384.0	0.0	15.97175607457757	33.78259228794777	0.1079606170001441	164.9606928728067	449.01562981078587	425.21858382970095	330940.9914937832	165.534642431885	797.0074404962361	202.33047720284955	2.304359628609461	81.80734270301475	776.0222850452874	773.2011177577078	467131.6920206746	548.285167478025	1008.2044929265976	137.57266425781174	-0.2834631325535079	65.50569671649079	953.3880236218234	964.0888214111328	476615.3173991484	808.2044821232557	1066.778806783259	78.60168281730029	0.2170891037769961	0.5171291749588388	0.551629211846362	0.5030875127413491
sub-012_T1w	SHIP	0.7499900179978986	1.2087606999303062	0.5639672590183541	28947.010972304848	3.876773333333334	3.74594	4.10081	3.78357	0.2505874797181034	0.3736295120002863	0.3757830082816102	0.2790822088718414	0.0445691555738448	0.0	0.0013263668866044	4.827303062409568	4.692605948708675	4.755809546044549	176	256	176	1.9294446395146756	6.500225534388705	7.103114640640748	12.879673748018863	57.00686042067351	112.16259024807792	102.38145504880455	137.97491447766222	1.0	1.0	1.0	188.07020643168696	4.579498094044492	8.27133351157974	3.088824525475502	2108382.0	0.0	15.165850147604942	46.10764423087343	-0.6985662280963987	184.54139616811725	426.4184593739173	398.486191034317	405567.56676771457	141.19545623660088	787.2328452765942	206.52870344310705	0.48868269497722	76.07742779655895	790.9718548084818	784.0327117592096	604707.0357426858	597.8962500393391	1000.8904552459716	120.61613236898792	-0.045467453347769	59.2446780454765	953.6655227615674	964.4645876437426	608192.3984106146	812.7226044237614	1060.9973108768463	74.88262619210028	0.2032949953664905	0.5182266409121548	0.5478716806034282	0.5870625698702531
sub-013_T1w	SHIP	0.686026703030704	1.4536469624910895	0.5271062644257103	22119.36550468262	3.846026666666667	3.64715	4.08858	3.80235	0.2574823974300527	0.3784440324337428	0.3640735701362044	0.3271107673645019	0.0426861509680748	0.0	0.0012186505170002	5.3748648883672905	5.265094080318332	5.337226005574176	176	256	176	1.8935194770016224	6.506755363321087	7.1126060927561445	12.937543437945724	50.90716310267073	93.39211582482692	87.6048361358545	118.51522948006586	1.0	1.0	1.0	343.20303425767327	5.271995261591222	5.848155401299064	3.55590676702559	2526726.0	0.0	16.442269751802087	23.82940406240535	-0.4155679183996641	179.60831720258642	423.9405866927125	409.6586949806661	374071.4570691735	78.01720231585205	780.8710475657135	216.34746956052365	-0.5522242637502313	80.65702152348965	757.3926197674538	751.5424148291349	549805.0043210472	573.8078612089157	966.1125154718756	115.50176538103968	-0.15251182342022	58.037007666064056	942.2276433753756	953.7124303355812	528927.5392047837	801.6594255883247	1045.9532597195357	73.71658563749557	0.1987378039469549	0.5299767924355485	0.5514795987404143	0.5634258012388904
