bids_name	rating	site	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-763_T1w	0	SHIP	0.895062752718829	0.991653786316979	0.555244385154858	22201	3.66764333333333	3.54003	3.89999	3.56291	0.25299550584594	0.36554509757728	0.381459396576781	0.329791039228439	0.0600730419158935	0	0.00164593236147378	5.06399029723837	4.90924117048976	4.97722563221458	176	256	176	2.08735451072623	6.20882280048222	6.91595477865961	12.4516870247704	47.2428811168114	87.4121306388927	79.6300837828164	104.235239592745	1	1	1	308.825025177668	5.96982854535499	7.92426210403391	4.02658816426992	2149952	0	19.1742293536663	40.2547764628994	-0.423954480605034	177.720848203385	451.875548636158	430.493406038731	389933.11850484	157.452380042523	807.171141691506	206.238495577501	2.53149103620974	73.2014690680433	800.944751701497	796.529444400221	563401.865087922	590.88583458215	1014.54043215141	128.289816460093	-0.225796898788205	64.0098282918618	944.097944278777	949.827408082783	587930.017147164	808.673122990876	1060.91011013836	76.2809568229931	0.21571619867219	0.515733477759958	0.54235366667807	0.505114149050809
sub-776_T1w	0	SHIP	0.783370582868021	1.12139450367095	0.537006413374956	24282.8734705075	3.53533333333333	3.39175	3.78886	3.42539	0.265022349955066	0.362232900198935	0.372744749845999	0.306403636932373	0.0467340245842933	0	0.0015080693052291	5.35314357874691	5.21308904855337	5.28911213988649	176	256	176	2.10855196924738	5.70119238888036	6.54621271364155	11.8288937827969	50.4929370217054	95.4710376887111	87.9172776091822	117.78785811713	1	1	1	452.599724086666	5.24997842269482	6.63603500573676	3.54105663485825	2280076	0	16.5063427388668	32.5238475296214	-0.313950730784355	162.832007929094	428.920723867208	404.628455787897	386393.045639408	163.641428267583	768.715995457023	191.898486777642	4.44352478011451	73.5410363305047	765.702302992198	765.063409479335	528122.528392013	539.216490248218	989.68350593932	134.193451644852	-0.299452570092703	66.5548445711706	931.594494207707	943.90071070753	543448.426759156	785.947278924286	1045.67123604007	79.7961212267831	0.215099888966382	0.518282141868393	0.561289380709216	0.564649564666244
sub-796_T1w	0	SHIP	0.718285833492765	1.43811367754373	0.565334352414913	29989.926976	3.73778333333333	3.51705	4.10093	3.59537	0.246566136078114	0.378937823093227	0.374496040828659	0.24298495054245	0.0341398201882839	0	0.000538861449388052	4.85616591960245	4.75181639675078	4.82996638303251	176	256	176	2.15033874920659	6.81687106458462	7.87452042288847	14.6563514548742	73.6292355654864	119.820440893882	114.177831725618	149.083818717486	1	1	1	3312.04362053152	4.21132315256733	4.0843834068884	2.84049430117011	2358167	0	14.733405020088	8.22875695190469	0.586461322950669	161.880113331864	476.663798134489	473.300681266934	395005.854038007	117.38939999789	825.389241233468	220.104893861621	-0.680830220522618	81.3533173491277	774.816877781388	770.225249104202	607069.003144951	595.017189405859	973.944438517094	112.98799807512	0.0226901636789072	53.763246975766	951.848745078717	958.334993198514	599953.143583804	831.176416538656	1049.17771748453	65.3869551009304	0.235756778368288	0.538209977681875	0.560636216347741	0.603809460648865
sub-797_T1w	0	SHIP	0.872022532056363	0.946077848075997	0.602118828100742	16355.7422560126	3.66562	3.44724	3.99917	3.55045	0.261669544162144	0.363387584535356	0.3749428713025	0.406943082809448	0.086164627969265	0	0.00132567901230147	5.30737435292216	5.16022285130475	5.2346639015285	176	256	176	1.85476117946745	5.44125216186017	6.25780734311217	11.4774086880089	37.8625338176165	72.9551446630662	66.6224799379767	89.0497613332475	1	1	1	105.904090096423	7.2707672733497	15.707225880585	4.90405800193548	1766062	0	27.7786909639835	78.0349368159573	2.17721354620583	185.087384347754	444.969849750684	420.20207054168	384562.645869234	116.413779549301	830.793503925204	226.552900101332	6.87474784373473	83.4430338082415	814.647682888844	809.663267433643	534052.564016976	572.392434306443	1061.11966431141	148.800769622747	-0.0619941071700914	72.3172959671426	982.05411218176	988.282883383334	551034.791227175	829.509891428053	1113.94525554031	86.1067174216459	0.213568428463053	0.521006655956283	0.548465561619534	0.491311604162576
sub-810_T1w	0	SHIP	0.896030232292596	0.914197837723047	0.552670848529086	15871.0267053324	3.76112666666667	3.65299	3.95182	3.67857	0.258325770279191	0.355941113018712	0.385733116702097	0.441220089793205	0.0855872750282288	0	0.00182820020016823	5.79192222913435	5.63450633652348	5.71027709219234	176	256	176	2.00019244123332	4.98869743879946	6.05176605012837	11.1664082703523	35.8168854691695	71.6794829507645	64.8937886618155	87.1849975655126	1	1	1	317.569715163283	7.22491393618927	9.45403644592155	4.87313039600849	2404365	0	21.0720879882574	49.6350201848681	-0.540311524491841	160.442916376065	429.04825829431	394.992424443364	348437.549093199	159.637030214071	789.211869582534	197.476927467146	4.74413042215574	77.8297625401906	789.514392259717	790.488965824246	480104.051979423	514.165668472648	1043.15237490833	158.455819835509	-0.412307250473577	75.3882398996853	953.137625334716	961.485431030393	520288.400350068	800.336050003767	1083.24647533894	86.1050826513304	0.203803137634337	0.488414600473569	0.527309229102457	0.489754343918514
sub-834_T1w	0	SHIP	0.816482137781166	1.13605735006303	0.566630128541932	27839.9039792388	3.46124666666667	3.31624	3.68167	3.38583	0.256235415580136	0.371924202408968	0.371840382010895	0.372378945350647	0.0612056985497474	0	0.00138379086819042	4.77014131808125	4.6341097178798	4.71421151123206	176	256	176	2.02668079412329	5.93850868303652	6.58809640711133	11.7990997441742	10.9403648632306	18.469755392901	17.3667334306286	22.6900800357542	1	1	1	637.293010785299	0	5.88793962843884	0	2338011	0	16.6243291776627	28.1243232424745	2.20649819001711	163.701374797493	477.966425548536	469.658467769623	417286.549033794	93.0849535278976	852.441408868879	231.73748247785	0.439554527400151	81.5159197611238	796.528710580991	792.887360371649	605688.977747288	578.125865103677	1022.32568275742	133.516131432603	0.0751598009771213	66.4095301134001	966.173183269935	974.061501273885	605552.473882	817.809741804376	1090.96807420068	82.5538149619797	0.217663487869965	0.52669272329485	0.547478726838222	0.558303944090336
sub-840_T1w	0	SHIP	0.802916987534767	1.17843631263913	0.597334904234981	33935.9230815456	3.60471	3.46635	3.90859	3.43919	0.245141311006991	0.369975794274218	0.384882894718791	0.242532640695572	0.0405435539782047	0	0.00115888209734179	4.14874830645536	4.04453403674714	4.13334188792783	176	256	176	2.47873565106793	6.5657551411369	8.66352950624343	16.9460977265255	79.4724236790908	114.850419891497	111.149814488342	139.126599894439	1	1	1	154.973635262639	4.61278528652872	9.92615489453424	3.11127639561892	1923501	0	21.6963345110416	50.2770597237072	2.31661977677967	143.241270534772	552.119631097792	559.561683081091	456038.832477073	178.691892102361	909.23610984534	225.744552202428	0.730904542624145	85.2344750289554	811.868728001522	808.656528666616	688269.670144584	613.361984647811	1018.79158575833	123.16267113644	0.102483399445918	52.0060925224565	977.924308261313	979.583996489644	716001.498184648	878.288546405733	1070.30661351234	57.8058340174961	0.245320361673299	0.524537659799814	0.555814375857585	0.596826142387439
sub-841_T1w	0	SHIP	0.811499164180417	1.08501909906611	0.553608172128172	25202.1778138333	3.50958666666667	3.40103	3.75335	3.37438	0.257371794354981	0.361417963464873	0.381210242180146	0.308361560106277	0.0478110790252685	0	0.000571009031016914	5.32447454501966	5.18874982422492	5.27183159203594	176	256	176	2.09954245836723	5.37521825623144	6.70108202758582	12.6284853681588	59.2990918331144	106.107104175634	98.5872060363182	130.355422100206	1	1	1	4090.53975205384	4.88487197683785	4.52590980058778	3.2947960793972	2309873	0	16.0327130649239	13.3933559400749	0.625155661059876	164.777199361548	463.857694602799	442.149866726249	376426.58178489	162.857063353062	822.463471319526	210.59315931661	5.02548327755752	80.8620771880123	792.511794126202	791.162908565253	528602.323823777	544.935737274587	1033.33042040095	147.186983392555	-0.254239697315542	65.8585418305817	964.70263425093	971.964843422175	557550.095047877	825.964192153886	1080.98729226366	76.9659973818751	0.224402906158945	0.507298400892094	0.54528146142891	0.54750028998956
sub-853_T1w	0	SHIP	0.782899706785534	1.03298650461435	0.580223188871259	20893.1747636989	3.75352	3.73845	3.91364	3.60847	0.258245665055059	0.362862184255089	0.378892150689852	0.340995252132416	0.0625241592526436	0	0.00111951670166676	5.49436214166835	5.35525743920808	5.42792465432394	176	256	176	1.83729106957656	5.25937895015036	6.32090582422662	11.8660474529529	3.10910038588301	6.57968814645379	5.96423271878024	8.20390962400392	1	1	1	93.670329161708	0	13.9026297660217	0	1712446	0	20.5442232079804	76.8300514408159	-0.545397844358439	158.740884878527	398.320942420477	364.61467044428	367354.975364246	115.910000074655	760.426124278456	198.452047262034	4.05171049821413	80.0419351840966	772.551598457338	771.622182428837	516172.18329386	523.859575204551	1015.32667148858	146.713412799417	-0.414963787571684	69.0831735884216	950.576716760335	962.100103776902	538974.842627856	801.15223871544	1066.92274529487	81.080007059067	0.213815899286265	0.520180260373048	0.557464638231535	0.473526526972804
sub-859_T1w	0	SHIP	0.73621916424153	1.3831447904545	0.52221483490056	20601.5424149889	3.54692666666667	3.35994	3.84124	3.4396	0.255484603427677	0.37712717872623	0.367388217846093	0.352590203285217	0.0531875193119049	0	0.000492252627404576	6.0133890429626	5.89804748172571	5.97681988898746	176	256	176	2.05523511000714	6.4606294553669	7.1035217524736	12.7947006920468	51.4122439404379	86.5762941506706	82.1760144492257	108.539505256568	1	1	1	606.190048021765	5.71126533379248	4.89215565640478	3.85218992829323	2495552	0	15.9509197771549	6.80304444851655	0.851107440927571	169.645733248206	456.115549392737	448.195164471865	331708.946044472	109.25952026248	805.507181376219	218.074558333532	0.0340122362034365	81.1422734089924	760.460761605425	754.743878543377	489643.827070838	575.916661649942	966.756998300552	116.821915426365	0.646297072334934	59.8202161628338	937.158743663507	946.211985349655	476999.227725997	800.370928138495	1044.9421864748	73.9533511791515	0.21665393719371	0.525246628186435	0.553573671062104	0.567409162451623
